"player_id","name","team","handle","verdict"
"8309","김웅빈","키움","_woong.bin","team_ok"
"3755","한동희","롯데","han.d.h_25","team_ok"
"151","하주석","한화","joo.suc","team_ok"
"99","최정원","NC","225studio.official","team_ok"
"32","박동원","LG","_colorwithjoy","team_ok"
"8396","아데를린","KIA","aderlinrodriguez_34","team_ok"
"7936","정보근","롯데","j_bo.keun","team_ok"
"3776","임병욱","키움","lim.bang_","team_ok"
"3772","윤준혁","NC","hyeok___31","team_ok"
"117","김인태","두산","225studio.official","team_ok"
"123","신윤후","롯데","yoon.hoo__","team_ok"
"165","양의지","두산","yang_eui_ji","team_ok"
"48","손아섭","두산","son_ahseop","team_ok"
"66","이주형","키움","leeeee_jju","team_ok"
"192","조형우","SSG","www_ch_","team_ok"
"103","한태양","롯데","taeyanghxn","team_ok"
"106","유강남","롯데","lalala__hoha","team_ok"
"178","김성욱","SSG","sogogi31","team_ok"
"96","오선우","KIA","o.h_1213","team_ok"
"74","안중열","NC","yalluan_1995","team_ok"
"88","오태곤","SSG","taegon.oh","team_ok"
"18","홍창기","LG","hongchangki_51","team_ok"
"137","황영묵","한화","h_y_m_9595","team_ok"
"33","박수종","키움","su._.bell","team_ok"
"190","박주홍","키움","p___juhong","team_ok"
"112","어준서","키움","joon.s2o","team_ok"
"6559","송지후","키움","jiho.o0501","team_ok"
"47","강승호","두산","atoi_zila","team_ok"
"29","신민재","LG","shinminjae___4","team_ok"
"8325","여동욱","키움","du_kkang","team_ok"
"8122","이정범","SSG","jeongbeom__33","team_ok"
"9","전준우","롯데","wnsdn1986","team_ok"
"15","안재석","두산","an_jaeseok","team_ok"
"77","이형종","키움","leehyungjong36","team_ok"
"113","노진혁","롯데","njhshr52","team_ok"
"6","박민","KIA","minpark._.2","team_ok"
"166","임지열","키움","j____________________i","team_ok"
"187","오영수","NC","yeongsuoh","team_ok"
"185","손성빈","롯데","son_s_b_28","team_ok"
"102","장성우","KT","zzangdoo22","team_ok"
"93","양석환","두산","luvinbloom","team_ok"
"1","윤동희","롯데","dh_yoon91","team_ok"
"175","천재환","NC","1.000_jh","team_ok"
"143","이강민","KT","kangmiinii","team_ok"
"80","이영빈","LG","_2_0_bin","team_ok"
"153","권희동","NC","rin_sz_dong","team_ok"
"65","배정대","KT","jd__bae_","team_ok"
"182","양우현","삼성","wwohynn","team_ok"
"35","한승택","KT","ta_eke_0","team_ok"
"156","박계범","삼성","_ppggbb","team_ok"
"44","오선진","키움","gorani_oh","team_ok"
"125","전태현","키움","t__hyuun","team_ok"
"7949","류효승","SSG","hyonolulu_","team_ok"
"91","양현종","키움","yangyang545454","team_ok"
"157","박세혁","삼성","parksseho","team_ok"
"68","고준휘","NC","__kojunhwi","team_ok"
"6083","장준원","KT","love__jh2","team_ok"
"23","김영웅","삼성","young.woong_30","team_ok"
"81","이유찬","두산","withbok__","team_ok"
"128","한유섬","SSG","hys_island","team_ok"
"133","김민성","롯데","kim_minsung16","team_ok"
"3","손호영","롯데","ho_zero_33","team_ok"
"7941","임종성","두산","5321tempia","team_ok"
"8168","장승현","삼성","jang_s_hy","team_ok"
"3770","도태훈","NC","dotaehun","team_ok"
"30","최재훈","한화","jh_hy_hn","team_ok"
"90","신재인","NC","s_jae_in","team_ok"
"119","추재현","키움","j_h_choo_","team_ok"
"2549","홍현빈","삼성","bean._.iya31","team_ok"
"78","정현창","KIA","wjdgusckd__","team_ok"
"142","조세진","롯데","sejin.c_5_","team_ok"
"8318","박채울","키움","qkrcodnf","team_ok"
"3754","염승원","키움","yumxswx","team_ok"
"172","주성원","키움","ju_seong_won","team_ok"
"76","이해승","삼성","haetmd","team_ok"
